source	target	mor	confidenceLevel	resource
accB	SL3352	-1	Weak	RegulonDB
accB	SL3353	-1	Weak	RegulonDB
acrR	SL0468	-1	Strong	RegulonDB
acrR	SL0469	-1	Strong	RegulonDB
acrR	SL0470	-1	Strong	RegulonDB
acrR	SL1448	-1	Strong	RegulonDB
acrR	SL1449	-1	Strong	RegulonDB
acrR	SL1450	-1	Strong	RegulonDB
acrR	SL1859	-1	Weak	RegulonDB
acrR	SL1860	-1	Weak	RegulonDB
acrR	SL4201	-1	Strong	RegulonDB
acrR	SL4202	-1	Strong	RegulonDB
acrS	SL0468	-1	Strong	RegulonDB
acrS	SL0469	-1	Strong	RegulonDB
ada	SL2101	1	Strong	RegulonDB
ada	SL2234	1	Strong	RegulonDB
ada	SL2235	1	Strong	RegulonDB
ada	SL4310	1	Strong	RegulonDB
adiY	SL2328	1	Strong	RegulonDB
adiY	SL3302	1	Strong	RegulonDB
adiY	SL3303	1	Strong	RegulonDB
adiY	SL4233	1	Strong	RegulonDB
adiY	SL4502	1	Strong	RegulonDB
aidB	SL4310	-1	Strong	RegulonDB
alaS	SL2807	-1	Strong	RegulonDB
allR	SL0507	-1	Strong	RegulonDB
allR	SL0508	-1	Strong	RegulonDB
allR	SL0510	-1	Strong	RegulonDB
allR	SL0511	-1	Strong	RegulonDB
allR	SL0512	-1	Strong	RegulonDB
araC	SL0148	1	Confirmed	CollecTF
araC	SL0149	1	Confirmed	CollecTF
araC	SL3625	-1	Strong	RegulonDB
araC	SL3626	-1	Strong	RegulonDB
araC	SL3920	-1	Weak	RegulonDB
arcA	SL0002	-1	Strong	RegulonDB
arcA	SL0067	1	Strong	RegulonDB
arcA	SL0070	1	Weak	RegulonDB
arcA	SL0071	1	Weak	RegulonDB
arcA	SL0072	1	Weak	RegulonDB
arcA	SL0074	1	Weak	RegulonDB
arcA	SL0075	1	Weak	RegulonDB
arcA	SL0152	-1	Weak	RegulonDB
arcA	SL0153	-1	Weak	RegulonDB
arcA	SL0159	-1	Strong	RegulonDB
arcA	SL0305	-1	Strong	RegulonDB
arcA	SL0433	-1	Strong	RegulonDB
arcA	SL0434	-1	Strong	RegulonDB
arcA	SL0435	-1	Strong	RegulonDB
arcA	SL0436	-1	Strong	RegulonDB
arcA	SL0437	-1	Strong	RegulonDB
arcA	SL0593	1	Weak	RegulonDB
arcA	SL0607	-1	Weak	RegulonDB
arcA	SL0608	-1	Weak	RegulonDB
arcA	SL0609	-1	Weak	RegulonDB
arcA	SL0610	-1	Weak	RegulonDB
arcA	SL0611	-1	Weak	RegulonDB
arcA	SL0612	-1	Weak	RegulonDB
arcA	SL0613	1	Weak	RegulonDB
arcA	SL0614	1	Weak	RegulonDB
arcA	SL0615	1	Weak	RegulonDB
arcA	SL0688	-1	Strong	RegulonDB
arcA	SL0689	1	Strong	RegulonDB
arcA	SL0712	-1	Strong	RegulonDB
arcA	SL0714	1	Strong	RegulonDB
arcA	SL0715	1	Strong	RegulonDB
arcA	SL0716	1	Strong	RegulonDB
arcA	SL0717	1	Strong	RegulonDB
arcA	SL0718	1	Strong	RegulonDB
arcA	SL0719	1	Strong	RegulonDB
arcA	SL0720	1	Strong	RegulonDB
arcA	SL0721	1	Strong	RegulonDB
arcA	SL0722	1	Strong	RegulonDB
arcA	SL0723	1	Strong	RegulonDB
arcA	SL0817	-1	Strong	RegulonDB
arcA	SL0821	1	Strong	RegulonDB
arcA	SL0822	1	Strong	RegulonDB
arcA	SL0854	-1	Strong	RegulonDB
arcA	SL0894	1	Strong	RegulonDB
arcA	SL0895	1	Strong	RegulonDB
arcA	SL0910	1	Strong	RegulonDB
arcA	SL0911	1	Strong	RegulonDB
arcA	SL0941	1	Strong	RegulonDB
arcA	SL0997	-1	Strong	RegulonDB
arcA	SL1006	-1	Strong	RegulonDB
arcA	SL1037	1	Weak	RegulonDB
arcA	SL1041	-1	Weak	RegulonDB
arcA	SL1049	1	Weak	RegulonDB
